needle_length,n_throws,abs_error_median,abs_error_95_pctile,abs_error_median_theoretical,abs_error_95_pctile_theoretical
0.1,100,0.8584073464102069,3.525074013076874,0.8126461746179597,2.3614254093000215
0.2,100,0.49477098277384357,1.8584073464102069,0.5547492135563761,1.6120163111542187
0.3,100,0.3878191111160887,1.4737919617948219,0.4361165572965051,1.267287968592938
0.4,100,0.3366682159754242,1.0689336621996803,0.3625232852542371,1.0534371833654794
0.5,100,0.30668320847917263,1.0250740130768738,0.3100942128346583,0.9010863230961522
0.6,100,0.2844497964469359,0.8584073464102069,0.2695340667798673,0.7832247463235411
0.7,100,0.2249259869231266,0.6875696650840439,0.23633851439075265,0.6867635516046248
0.8,100,0.19174067974354037,0.6679311559340166,0.20799363825987208,0.604397679704237
0.9,100,0.1907729814586454,0.5328970014158796,0.1829360553776648,0.5315841788697523
1.0,100,0.15651802672412174,0.4388899508870905,0.16009059247060475,0.46519876012177797
0.1,1000,0.24823785488478345,0.7799759738611876,0.2569812843615666,0.746748281798343
0.2,1000,0.17862969062683032,0.5100137062213719,0.17542710450253055,0.5097643168590025
0.3,1000,0.1370958710003709,0.40870320439837204,0.13791216463682812,0.4007516432081614
0.4,1000,0.11128962328676284,0.3366682159754242,0.11463992862503228,0.3331260871347357
0.5,1000,0.10207897577824321,0.2830648806567826,0.09806040017945387,0.28494851494102286
0.6,1000,0.09590737440197605,0.26389481186317454,0.08523415580323065,0.247677411818998
0.7,1000,0.07679815100790766,0.2076896430609243,0.07473680042952602,0.2171737037057199
0.8,1000,0.07057537911762424,0.19869962198432,0.06577336357263365,0.19112732803863122
0.9,1000,0.05940087276787498,0.17618902920758517,0.05784946011601149,0.16810167733387696
1.0,1000,0.0504025453981396,0.1425102113979432,0.05062509041729136,0.14710876466711273
0.1,10000,0.07880551729576535,0.2432516648945602,0.08126461746179597,0.23614254093000217
0.2,10000,0.057552561068590524,0.16966562455590228,0.055474921355637606,0.16120163111542188
0.3,10000,0.043120722206384965,0.12500140170442364,0.04361165572965051,0.12672879685929378
0.4,10000,0.03679431502363606,0.10559711092121055,0.03625232852542371,0.10534371833654795
0.5,10000,0.03020497468500194,0.0873385701751408,0.03100942128346583,0.09010863230961523
0.6,10000,0.025518906511112327,0.07880551729576535,0.026953406677986732,0.0783224746323541
0.7,10000,0.02255356156228716,0.06737218806498024,0.023633851439075263,0.06867635516046247
0.8,10000,0.01903215398011282,0.05776747438461216,0.020799363825987207,0.0604397679704237
0.9,10000,0.01754392590907705,0.05517290050337342,0.018293605537766478,0.05315841788697523
1.0,10000,0.01610429603392527,0.04609660034726115,0.016009059247060475,0.046519876012177795
0.1,100000,0.026327856082004608,0.07789062583428921,0.025698128436156657,0.0746748281798343
0.2,100000,0.01781288006382642,0.0525312038484806,0.017542710450253053,0.05097643168590024
0.3,100000,0.013313225051494015,0.03890132702787096,0.01379121646368281,0.04007516432081614
0.4,100000,0.011738051967952856,0.03468084460692686,0.011463992862503228,0.033312608713473565
0.5,100000,0.00950235192462312,0.029044956163717602,0.009806040017945385,0.028494851494102285
0.6,100000,0.00863605336901152,0.02462886073768964,0.008523415580323063,0.024767741181899797
0.7,100000,0.007357854628568639,0.020921887036347578,0.007473680042952601,0.021717370370571986
0.8,100000,0.006723588373069633,0.01964188763783925,0.006577336357263365,0.01911273280386312
0.9,100000,0.006030890634317387,0.017249736154024538,0.005784946011601149,0.016810167733387695
1.0,100000,0.004990943269916226,0.014689032045652327,0.0050625090417291355,0.014710876466711272
0.1,1000000,0.008117670502562957,0.024472825620018197,0.008126461746179597,0.023614254093000216
0.2,1000000,0.0056841651427985695,0.016869417487204382,0.00554749213556376,0.01612016311154219
0.3,1000000,0.004438235211773334,0.012634003534269111,0.0043611655729650515,0.012672879685929379
0.4,1000000,0.0035468771376701014,0.010372034952125908,0.003625232852542371,0.010534371833654795
0.5,1000000,0.0029559377347976312,0.008680571592374007,0.003100942128346583,0.009010863230961522
0.6,1000000,0.002581546722160155,0.00793180758974703,0.002695340667798673,0.00783224746323541
0.7,1000000,0.002432152231539364,0.006790415602687603,0.0023633851439075265,0.006867635516046248
0.8,1000000,0.002081865016057227,0.00604938932722616,0.0020799363825987206,0.00604397679704237
0.9,1000000,0.0018971500032591848,0.005436818066074167,0.001829360553776648,0.005315841788697523
1.0,1000000,0.0017396772034776742,0.004656077998488971,0.0016009059247060475,0.004651987601217779
